Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),8/179,4.2578174779621675e-13,3.1337536637801547e-10,0,0,115.8654970760234,3300.411247501055,APP;CD74;PTPRC;ERBB4;CCL2;NRG1;APOE;CX3CL1
GO_Biological_Process_2023,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),8/244,5.175247365972532e-12,1.904491030677892e-09,0,0,83.67796610169492,2174.550516068827,APP;CD74;PTPRC;ERBB4;CCL2;NRG1;APOE;CX3CL1
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),8/310,3.5174280156825064e-11,8.629423398474416e-09,0,0,65.17218543046357,1568.740513424888,APP;CD74;PTPRC;ERBB4;CCL2;NRG1;APOE;CX3CL1
GO_Biological_Process_2023,Regulation Of Tumor Necrosis Factor Production (GO:0032680),6/127,4.423481060781399e-10,8.139205151837775e-08,0,0,98.49421487603306,2121.4594060453423,CX3CR1;TLR1;APP;PTPRC;CX3CL1;CCR2
GO_Biological_Process_2023,Endocytosis (GO:0006897),6/189,4.868220733167757e-09,7.166020919222938e-07,0,0,64.92131147540984,1242.628785102704,APP;LRP1;AXL;MRC1;APOE;MYD88
GO_Biological_Process_2023,Regulation Of Interleukin-6 Production (GO:0032675),5/114,2.288022737965344e-08,2.806641225237489e-06,0,0,82.88156797331109,1458.1348230178287,TLR1;APP;CD74;CX3CL1;MYD88
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),7/482,4.284697985962547e-08,4.505053882383478e-06,0,0,31.94456140350877,541.9596308811489,CX3CR1;CD74;ERBB4;AXL;CCL2;APOE;CX3CL1
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),7/525,7.687317887758828e-08,7.072332456738122e-06,0,0,29.22822822822823,478.79078665238046,CX3CR1;APP;CD74;PTPRC;AXL;CX3CL1;MYD88
GO_Biological_Process_2023,Positive Regulation Of Cytokine Production (GO:0001819),6/320,1.1200751847152781e-07,9.159725955004938e-06,0,0,37.5859872611465,601.5524442556379,TLR1;APP;CD74;PTPRC;MYD88;CCR2
GO_Biological_Process_2023,Positive Regulation Of Protein Phosphorylation (GO:0001934),6/377,2.942867530889173e-07,2.032617571538652e-05,0,0,31.71913746630728,477.01494768842986,CX3CR1;APP;CD74;PTPRC;ERBB4;CX3CL1
GO_Biological_Process_2023,Negative Regulation Of Neuron Apoptotic Process (GO:0043524),4/74,3.037879522680051e-07,2.032617571538652e-05,0,0,94.82857142857142,1423.0862933304468,CX3CR1;CCL2;APOE;CX3CL1
GO_Biological_Process_2023,Positive Regulation Of Interleukin-6 Production (GO:0032755),4/76,3.384055516765174e-07,2.07555405028264e-05,0,0,92.1851851851852,1373.4689918656698,TLR1;APP;CD74;MYD88
GO_Biological_Process_2023,Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760),4/78,3.758816366507574e-07,2.128068342884288e-05,0,0,89.68468468468468,1326.7944664261415,TLR1;APP;PTPRC;CCR2
GO_Biological_Process_2023,Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),4/82,4.600155612681282e-07,2.1743336061096453e-05,0,0,85.06837606837607,1241.3182130984185,TLR1;APP;PTPRC;CCR2
GO_Biological_Process_2023,Regulation Of Interleukin-8 Production (GO:0032677),4/81,4.3778600649550636e-07,2.1743336061096453e-05,0,0,86.17748917748918,1261.770777055533,TLR1;CD74;PTPRC;MYD88
GO_Biological_Process_2023,Microglial Cell Activation (GO:0001774),3/20,4.748696385083876e-07,2.1743336061096453e-05,0,0,271.0452488687783,3946.479948522122,CX3CR1;APP;CX3CL1
GO_Biological_Process_2023,Response To Interleukin-1 (GO:0070555),4/85,5.317663710594241e-07,2.1743336061096453e-05,0,0,81.90534979423869,1183.2916335360214,APP;CCL2;CX3CL1;MYD88
GO_Biological_Process_2023,Regulation Of Interleukin-1 Beta Production (GO:0032651),4/84,5.069855618822945e-07,2.1743336061096453e-05,0,0,82.93333333333334,1202.1006959513456,CX3CR1;APP;CX3CL1;MYD88
GO_Biological_Process_2023,Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730),4/90,6.694557508603038e-07,2.593260171753598e-05,0,0,77.12403100775194,1096.4569831708322,APP;CD74;PTPRC;NRG1
GO_Biological_Process_2023,Regulation Of Inflammatory Response (GO:0050727),5/240,9.358221158718074e-07,3.443825386408251e-05,0,0,38.19922630560929,530.2755639587367,APP;APOE;CX3CL1;MYD88;CCR2
